file_name,first_language,gender,age_of_arrival_to_Canada_months,age_of_English_exposure_months,age_at_recording_months,months_of_english
bnfs1.cha  ,Farsi,F,58,63,73,10
brnd1.cha,Spanish,M,53,56,66,10
chrs1.cha,Romanian,F,69,69,74,5
cndx1.cha  ,Mandarin,F,73,73,81,8
dnln1.cha,Cantonese,M,1,48,62,14
dnnc1.cha  ,Mandarin,M,53,55,64,9
dnns1.cha  ,Mandarin,M,42,47,54,7
dvdc1.cha  ,Spanish,M,67,67,75,8
flpp1.cha  ,Spanish,M,45,58,68,10
gsyn1.cha  ,Korean,F,48,60,62,2
jnnh1.cha  ,Mandarin,F,53,53,71,18
lgkr1.cha  ,Ukrainian,M,66,66,79,13
llkc1.cha  ,Arabic,F,1,47,58,11
mrss1.cha,Mandarin,F,56,56,60,4
rmlm1.cha  ,Japanese,F,26,42,51,9
rndl1.cha  ,Spanish,M,88,89,94,5
rnl01.cha  ,Cantonese,M,1,40,56,16
sbst1.cha  ,Spanish,M,45,46,61,15
shhn1.cha  ,Farsi,M,64,66,78,12
smns1.cha  ,Spanish,M,60,60,66,6
thrj1.cha,Farsi,M,37,39,50,11
tnyn1.cha,Mandarin,M,68,70,77,7
trrk1.cha,Arabic,M,1,42,50,8
yssf1.cha,Arabic,M,1,57,59,9
